name;age;segment;city;zip_code;state;region
Rob Haberlin;NULL;Consumer;Pittsburgh;15122;Pennsylvania;East
Giulietta Dortch;NULL;Corporate;Essex Junction;5451;Vermont;East
Darren Powers;NULL;Corporate;Denton;76201;Texas;Central
Kristina Nunn;NULL;Consumer;East Lansing;48823;Michigan;Central
Sean Wendt;NULL;Corporate;Minnetonka;55345;Minnesota;Central
Maria Bertelson;NULL;Home Office;Hazelwood;63042;MO;Central
Michelle Moray;NULL;Corporate;Pleasure Ridge Park;40258;Kentucky;South
Bradley Drucker;NULL;Small Business;Trenton;8601;New Jersey;East
Bradley Drucker;NULL;Small Business;Bellingham;2019;MA;East
Bradley Drucker;NULL;Small Business;Beverly;1915;MA;East
Bradley Drucker;NULL;Small Business;Hanson;2341;MA;East
Alan Barnes;NULL;Corporate;Springfield;62701;Illinois;Central
Bradley Drucker;NULL;Small Business;Hawthorne;7506;New Jersey;East
Andy Gerbode;NULL;Consumer;Lebanon;37087;Tennessee;South
Cindy Schnelling;NULL;Corporate;Florence;41042;Kentucky;South
Liz Price;NULL;Consumer;Fort Thomas;41075;Kentucky;South
Rick Reed;NULL;Consumer;Gaithersburg;20877;Maryland;East
Guy Thornton;NULL;Corporate;Springfield;65807;MO;Central
Greg Matthias;NULL;Home Office;Englewood;80112;Colorado;West
Michelle Huthwaite;NULL;Home Office;College Park;20740;Maryland;East
Mike Gockenbach;NULL;Consumer;Pembroke Pines;33024;Florida;South
Brian Stugart;NULL;Corporate;Manteca;95336;California;West
Toby Swindell;NULL;Small Business;Germantown;38138;Tennessee;South
Tamara Manning;NULL;Corporate;Post Falls;83854;Idaho;West
Tamara Manning;NULL;Corporate;Rexburg;83440;Idaho;West
Toby Swindell;NULL;Small Business;Hendersonville;37075;Tennessee;South
Clytie Kelty;NULL;Small Business;Allentown;18103;Pennsylvania;East
Jennifer Patt;NULL;Home Office;Salinas;93905;California;West
Giulietta Weimer;NULL;Corporate;Battle Creek;49017;Michigan;Central
Jennifer Jackson;NULL;Home Office;Hattiesburg;39401;Mississippi;South
Amy Hunt;NULL;Consumer;Knoxville;37918;Tennessee;South
Amy Cox;NULL;Small Business;West Mifflin;15122;Pennsylvania;East
Skye Norling;NULL;Home Office;Lombard;60148;Illinois;Central
Sylvia Foulston;NULL;Corporate;Naperville;60540;Illinois;Central
Joe Elijah;NULL;Home Office;Hot Springs;71901;Arkansas;South
Sanjit Jacobs;NULL;Consumer;Laurel;20707;Maryland;East
Jason Klamczynski;NULL;Small Business;Woodmere;11598;New York;East
Xylona Price;NULL;Corporate;Boardman;44512;Ohio;East
Carlos Soltero;NULL;Small Business;Wilmette;60091;Illinois;Central
Randy Ferguson;NULL;Home Office;Clarksville;37042;Tennessee;South
Benjamin Venier;NULL;Small Business;Cranston;2910;Rhode Island;East
Katherine Ducich;NULL;Corporate;Palm Beach Gardens;33403;Florida;South
Carlos Soltero;NULL;Small Business;Woodridge;60517;Illinois;Central
Paul Prost;NULL;Corporate;Bartlett;38134;Tennessee;South
John Lee;NULL;Corporate;Northport;35473;Alabama;South
Joel Eaton;NULL;Home Office;Meridian;39301;Mississippi;South
Natalie Webber;NULL;Corporate;Miami;33142;Florida;South
Kristen Hastings;NULL;Corporate;Tupelo;38801;Mississippi;South
Kristen Hastings;NULL;Corporate;Willow Grove;19090;Pennsylvania;East
Arthur Gainer;NULL;Consumer;Santa Fe;87505;New Mexico;West
Chris Cortes;NULL;Consumer;South Burlington;5403;Vermont;East
Stuart Calhoun;NULL;Consumer;Hamilton;45011;Ohio;East
Chris Cortes;NULL;Consumer;Oxford;1540;MA;East
Cynthia Arntzen;NULL;Small Business;Allen;75002;Texas;Central
Rob Haberlin;NULL;Corporate;Pittsburgh;15122;Pennsylvania;East
Roy Phan;NULL;Corporate;Des Moines;98198;Washington;West
Arthur Prichep;NULL;Small Business;Cleveland Heights;44106;Ohio;East
Rob Haberlin;NULL;Corporate;Sioux City;51106;Iowa;Central
Harold Ryan;NULL;Home Office;Wooster;44691;Ohio;East
Larry Tron;NULL;Home Office;Holladay;84117;Utah;West
Andrew Allen;NULL;Corporate;Fountain;80817;Colorado;West
Khloe Miller;NULL;Corporate;Saginaw;48601;Michigan;Central
Nathan Mautz;NULL;Home Office;Lino Lakes;55014;Minnesota;Central
Nathan Mautz;NULL;Home Office;Mobile;36608;Alabama;South
Guy Phonely;NULL;Corporate;Elyria;44035;Ohio;East
Russell Applegate;NULL;Small Business;Hialeah;33012;Florida;South
Sally Matthias;NULL;Home Office;Mankato;56001;Minnesota;Central
Jocasta Rupert;NULL;Consumer;Newton;67114;Kansas;Central
Victoria Brennan;NULL;Small Business;Parkland;98444;Washington;West
Cynthia Delaney;NULL;Corporate;Wheat Ridge;80033;Colorado;West
Michael Dominguez;NULL;Home Office;Franklin;53132;Wisconsin;Central
Filia McAdams;NULL;Small Business;Vincennes;47591;Indiana;Central
Debra Catini;NULL;Small Business;Bayonne;7002;New Jersey;East
Giulietta Dortch;NULL;Corporate;Menlo Park;94025;California;West
Gene Hale;NULL;Consumer;Muscatine;52761;Iowa;Central
Tanja Norvell;NULL;Corporate;Sanford;32771;Florida;South
Tanja Norvell;NULL;Corporate;Saint Petersburg;33710;Florida;South
Gene Hale;NULL;Consumer;Allen Park;48101;Michigan;Central
Ken Brennan;NULL;Consumer;Mount Lebanon;15228;Pennsylvania;East
Stefanie Holloman;NULL;Small Business;Benton;72015;Arkansas;South
Michael Dominguez;NULL;Home Office;Eau Claire;54703;Wisconsin;Central
Victor Price;NULL;Consumer;Royal Palm Beach;33411;Florida;South
Sean O'Donnell;NULL;Corporate;Sandusky;44870;Ohio;East
Cari Sayre;NULL;Home Office;Provo;84604;Utah;West
Adam Hart;NULL;Corporate;Laguna Niguel;92677;California;West
Cindy Chapman;NULL;Corporate;Oro Valley;85737;Arizona;West
Liz MacKendrick;NULL;Corporate;North Platte;69101;Nebraska;Central
Katherine Hughes;NULL;Consumer;Chesapeake;23320;Virginia;South
Liz MacKendrick;NULL;Corporate;Mechanicsville;23111;Virginia;South
Eugene Barchas;NULL;Corporate;Champaign;61821;Illinois;Central
Clay Rozendal;NULL;Corporate;Rock Island;61201;Illinois;Central
Rick Reed;NULL;Consumer;Franklin Park;60131;Illinois;Central
Maria Zettner;NULL;Corporate;West Palm Beach;33407;Florida;South
Art Foster;NULL;Home Office;Hanover;17331;Pennsylvania;East
John Lee;NULL;Corporate;Jonesboro;72401;Arkansas;South
Matt Abelman;NULL;Home Office;Brooklyn Center;55429;Minnesota;Central
Marc Crier;NULL;Consumer;Sherwood;72116;Arkansas;South
Joy Smith;NULL;Corporate;West Lafayette;47906;Indiana;Central
Darren Powers;NULL;Corporate;Eagle;83616;Idaho;West
Alejandro Grove;NULL;Consumer;Cincinnati;45231;Ohio;East
Bill Overfelt;NULL;Corporate;Cuyahoga Falls;44221;Ohio;East
Alan Schoenberger;NULL;Corporate;Burlington;5401;Vermont;East
Erica Bern;NULL;Corporate;Fort Wayne;46806;Indiana;Central
Carol Darley;NULL;Home Office;Pueblo;81001;Colorado;West
Matt Abelman;NULL;Home Office;Brooklyn Park;55445;Minnesota;Central
Henia Zydlo;NULL;Home Office;Coral Gables;33134;Florida;South
Sonia Sunley;NULL;Small Business;Hutchinson;67501;Kansas;Central
Christine Sundaresam;NULL;Small Business;Saint Peters;63376;MO;Central
Gene McClure;NULL;Consumer;Casselberry;32707;Florida;South
Michael Grace;NULL;Corporate;Spartanburg;29301;South Carolina;South
Matt Abelman;NULL;Home Office;Burnsville;55337;Minnesota;Central
Dean Katz;NULL;Home Office;Redondo Beach;90278;California;West
Erica Bern;NULL;Corporate;Granger;46530;Indiana;Central
Mick Crebagga;NULL;Home Office;Fort Myers;33917;Florida;South
Robert Barroso;NULL;Small Business;East Los Angeles;90022;California;West
Christina Vanderzanden;NULL;Small Business;Newton;50208;Iowa;Central
Kelly Andreada;NULL;Home Office;Greenville;29611;South Carolina;South
Nick Zandusky;NULL;Small Business;Statesboro;30458;Georgia;South
Bobby Elias;NULL;Small Business;Elizabeth;7201;New Jersey;East
Bill Donatelli;NULL;Corporate;Lincoln;68502;Nebraska;Central
John Lee;NULL;Corporate;Little Rock;72209;Arkansas;South
Ed Braxton;NULL;Consumer;Temecula;92592;California;West
Bradley Nguyen;NULL;Consumer;Randallstown;21133;Maryland;East
Helen Wasserman;NULL;Home Office;Elmira;14901;New York;East
Max Engle;NULL;Corporate;Bozeman;59715;Montana;West
Grant Donatelli;NULL;Consumer;Cheyenne;82001;Wyoming;West
Christine Abelman;NULL;Corporate;Spokane;99207;Washington;West
Edward Becker;NULL;Corporate;Euless;76039;Texas;Central
Ionia McGrath;NULL;Home Office;Birmingham;35211;Alabama;South
Maribeth Schnelling;NULL;Corporate;Fort Lauderdale;33311;Florida;South
Rick Wilson;NULL;Consumer;Wilmington;28403;North Carolina;South
Michael Moore;NULL;Corporate;Panama City;32404;Florida;South
Nicole Brennan;NULL;Consumer;Concord;94521;California;West
Cathy Armstrong;NULL;Consumer;Southgate;48195;Michigan;Central
Olvera Toch;NULL;Home Office;Kenosha;53142;Wisconsin;Central
Vivek Grady;NULL;Home Office;Westerville;43081;Ohio;East
Trudy Bell;NULL;Consumer;El Mirage;85335;Arizona;West
Aaron Smayling;NULL;Small Business;Syracuse;13210;New York;East
Frank Hawley;NULL;Home Office;Sulphur Springs;75482;Texas;Central
David Smith;NULL;Small Business;Highland Village;75067;Texas;Central
Thais Sissman;NULL;Corporate;Port Saint Lucie;34952;Florida;South
Lena Creighton;NULL;Home Office;Plum;15239;Pennsylvania;East
Vicky Freymann;NULL;Home Office;Rochester Hills;48307;Michigan;Central
Sally Matthias;NULL;Home Office;Maple Grove;55369;Minnesota;Central
Charles Crestani;NULL;Consumer;Santa Maria;93454;California;West
Janet Lee;NULL;Consumer;Fayetteville;28314;North Carolina;South
Nicole Brennan;NULL;Home Office;Costa Mesa;92627;California;West
Joni Blumstein;NULL;Home Office;Lawton;73505;Oklahoma;Central
Carlos Soltero;NULL;Consumer;Carmel;46032;Indiana;Central
Mick Brown;NULL;Consumer;Coachella;92236;California;West
Phillip Flathmann;NULL;Small Business;Port Charlotte;33952;Florida;South
Bill Eplett;NULL;Corporate;Auburn;13021;New York;East
Erica Smith;NULL;Small Business;Wenatchee;98801;Washington;West
Sharelle Roach;NULL;Home Office;Coeur D Alene;83814;Idaho;West
Erica Smith;NULL;Small Business;Sulphur Springs;75482;Texas;Central
Edward Becker;NULL;Home Office;Euless;76039;Texas;Central
David Bremer;NULL;Corporate;Redlands;92374;California;West
Frank Merwin;NULL;Consumer;West Valley City;84120;Utah;West
Nicole Hansen;NULL;Corporate;Kankakee;60901;Illinois;Central
Debra Catini;NULL;Small Business;Oxnard;93030;California;West
Justin Knight;NULL;Corporate;Cedar Falls;50613;Iowa;Central
Roland Fjeld;NULL;Corporate;El Centro;92243;California;West
Frank Merwin;NULL;Consumer;Tooele;84074;Utah;West
Tracy Collins;NULL;Corporate;Kissimmee;34741;Florida;South
Sally Hughsby;NULL;Consumer;Parma;44134;Ohio;East
Anthony Johnson;NULL;Small Business;Orland Park;60462;Illinois;Central
Neola Schneider;NULL;Home Office;Joliet;60432;Illinois;Central
Ann Blume;NULL;Small Business;Arlington;2474;MA;East
Neola Schneider;NULL;Home Office;Kankakee;60901;Illinois;Central
Anthony O'Donnell;NULL;Corporate;Louisville;80027;Colorado;West
Peter Buhler;NULL;Consumer;Derby;67037;Kansas;Central
Brian Moss;NULL;Corporate;Covington;41011;Kentucky;South
Mary O'Rourke;NULL;Home Office;Blaine;55434;Minnesota;Central
Ruben Ausman;NULL;Corporate;Paris;75460;Texas;Central
Jeremy Lonsdale;NULL;Corporate;Woodmere;11598;New York;East
Katrina Bavinger;NULL;Home Office;Appleton;54915;Wisconsin;Central
Peter McVee;NULL;Small Business;Gorham;4038;Maine;East
Mick Crebagga;NULL;Corporate;Fruit Cove;32259;Florida;South
Dan Campbell;NULL;Corporate;Hacienda Heights;91745;California;West
Dana Kaydos;NULL;Corporate;Shoreview;55126;Minnesota;Central
Jill Matthias;NULL;Consumer;Laguna Hills;92653;California;West
Cathy Hwang;NULL;Home Office;Newington;6111;Connecticut;East
Darrin Van Huff;NULL;Home Office;Henderson;42420;Kentucky;South
Sean O'Donnell;NULL;Corporate;Dickinson;58601;North Dakota;Central
Jennifer Patt;NULL;Home Office;Stamford;6901;Connecticut;East
Stephanie Phelps;NULL;Consumer;Kirkland;98034;Washington;West
Cathy Hwang;NULL;Home Office;Auburn;4210;Maine;East
Cari Sayre;NULL;Corporate;Pleasant Grove;84062;Utah;West
Cindy Schnelling;NULL;Corporate;Georgetown;40324;Kentucky;South
Cindy Schnelling;NULL;Corporate;Frankfort;60423;Illinois;Central
Steven Ward;NULL;Consumer;Oakland Park;33334;Florida;South
Victoria Pisteka;NULL;Corporate;Camarillo;93010;California;West
Evan Minnotte;NULL;Corporate;Hammond;46324;Indiana;Central
James Lanier;NULL;Corporate;Mansfield;76063;Texas;Central
Natalie Fritzler;NULL;Home Office;Muskego;53150;Wisconsin;Central
Nathan Mautz;NULL;Corporate;Hoover;35244;Alabama;South
Alan Barnes;NULL;Corporate;Streamwood;60107;Illinois;Central
Theresa Swint;NULL;Small Business;Riverview;33569;Florida;South
Alan Hwang;NULL;Small Business;Salem;24153;Virginia;South
Ryan Akin;NULL;Consumer;North Olmsted;44070;Ohio;East
Jim Radford;NULL;Corporate;Elgin;60123;Illinois;Central
Delfina Latchford;NULL;Small Business;Buffalo Grove;60089;Illinois;Central
Mick Crebagga;NULL;Corporate;Fort Lauderdale;33311;Florida;South
Bill Eplett;NULL;Corporate;Binghamton;13905;New York;East
Quincy Jones;NULL;Home Office;Tuscaloosa;35401;Alabama;South
Guy Armstrong;NULL;Corporate;Jeffersonville;47130;Indiana;Central
Guy Armstrong;NULL;Corporate;Indianapolis;46203;Indiana;Central
Denise Monton;NULL;Home Office;Bryant;72022;Arkansas;South
Bill Eplett;NULL;Corporate;Clayton;63105;MO;Central
Christina DeMoss;NULL;Home Office;Montclair;22025;Virginia;South
Joy Bell;NULL;Home Office;Freeport;61032;Illinois;Central
Trudy Schmidt;NULL;Small Business;Port Huron;48060;Michigan;Central
Raymond Book;NULL;Consumer;Bellingham;98226;Washington;West
Dennis Bolton;NULL;Small Business;Pittsburg;66762;Kansas;Central
Richard Bierner;NULL;Small Business;Waynesboro;22980;Virginia;South
Rose O'Brian;NULL;Home Office;Tulsa;74133;Oklahoma;Central
John Huston;NULL;Consumer;Garner;27529;North Carolina;South
Dorothy Badders;NULL;Home Office;Romeoville;60441;Illinois;Central
Ann Steele;NULL;Corporate;Logan;84321;Utah;West
Karen Bern;NULL;Corporate;Southaven;38671;Mississippi;South
Maxwell Schwartz;NULL;Corporate;Rocky Mount;27801;North Carolina;South
Thomas Brumley;NULL;Consumer;Spring Hill;34609;Florida;South
Nora Price;NULL;Home Office;Springfield;22153;Virginia;South
Roy Phan;NULL;Consumer;Des Moines;98198;Washington;West
Craig Carroll;NULL;Corporate;Papillion;68046;Nebraska;Central
Heather Kirkland;NULL;Home Office;Des Plaines;60016;Illinois;Central
Rob Beeghly;NULL;Consumer;Metairie;70003;Louisiana;South
Dennis Kane;NULL;Small Business;Cheektowaga;14225;New York;East
Laura Armstrong;NULL;Small Business;Marion;43302;Ohio;East
Lindsay Castell;NULL;Small Business;Bozeman;59715;Montana;West
Resi Polking;NULL;Small Business;Caldwell;83605;Idaho;West
Denny Blanton;NULL;Home Office;Delaware;43015;Ohio;East
Carol Adams;NULL;Corporate;Reisterstown;21136;Maryland;East
Carlos Daly;NULL;Home Office;Pekin;61554;Illinois;Central
Denny Blanton;NULL;Home Office;Dublin;43017;Ohio;East
Michelle Moray;NULL;Corporate;Paducah;42003;Kentucky;South
Carol Triggs;NULL;Corporate;West Islip;11795;New York;East
Beth Fritzler;NULL;Small Business;Morristown;37814;Tennessee;South
Alejandro Grove;NULL;Corporate;Canton;44708;Ohio;East
Naresj Patel;NULL;Small Business;Irving;75061;Texas;Central
Mike Kennedy;NULL;Corporate;Duluth;55803;Minnesota;Central
Chuck Sachs;NULL;Consumer;Lewiston;4240;Maine;East
Chuck Sachs;NULL;Consumer;Stratford;6614;Connecticut;East
Daniel Raglin;NULL;Corporate;Mustang;73064;Oklahoma;Central
John Dryer;NULL;Corporate;Marietta;30062;Georgia;South
Michael Stewart;NULL;Small Business;Coachella;92236;California;West
Gene McClure;NULL;Home Office;Camp Springs;20746;Maryland;East
Julie Prescott;NULL;Home Office;Parkersburg;26101;West Virginia;East
Sean Christensen;NULL;Home Office;New Berlin;53151;Wisconsin;Central
Thomas Boland;NULL;Corporate;Stevens Point;54481;Wisconsin;Central
Ricardo Block;NULL;Corporate;Chandler;85224;Arizona;West
Eric Barreto;NULL;Small Business;Sudbury;1776;MA;East
Anna Chung;NULL;Home Office;El Mirage;85335;Arizona;West
Brendan Murry;NULL;Corporate;Fresno;93727;California;West
Marc Harrigan;NULL;Home Office;Sterling Heights;48310;Michigan;Central
Kimberly Carter;NULL;Small Business;Clinton;52732;Iowa;Central
Noah Childs;NULL;Home Office;Missouri City;77489;Texas;Central
Sally Hughsby;NULL;Consumer;North Ridgeville;44039;Ohio;East
Noah Childs;NULL;Home Office;Munster;46321;Indiana;Central
Beth Thompson;NULL;Corporate;Drexel Hill;19026;Pennsylvania;East
Barry Weirich;NULL;Corporate;Belchertown;1007;MA;East
Victoria Wilson;NULL;Home Office;West Bend;53095;Wisconsin;Central
Barry Weirich;NULL;Corporate;Forest Park;60130;Illinois;Central
Rob Haberlin;NULL;Corporate;Marshalltown;50158;Iowa;Central
Victoria Wilson;NULL;Home Office;West Allis;53214;Wisconsin;Central
Charles Crestani;NULL;Consumer;Santa Clara;95051;California;West
Harold Ryan;NULL;Home Office;Westerville;43081;Ohio;East
Christopher Conant;NULL;Home Office;Tacoma;98408;Washington;West
Tony Sayre;NULL;Home Office;Mount Vernon;98273;Washington;West
Tonja Turnell;NULL;Consumer;Lynnwood;98037;Washington;West
Dean Braden;NULL;Corporate;Burleson;76028;Texas;Central
Kelly Williams;NULL;Corporate;Emporia;66801;Kansas;Central
Jack O'Briant;NULL;Small Business;Greenville;38701;Mississippi;South
Pamela Stobb;NULL;Consumer;Ossining;10562;New York;East
David Philippe;NULL;Consumer;Prior Lake;55372;Minnesota;Central
George Ashbrook;NULL;Consumer;Mansfield;76063;Texas;Central
George Ashbrook;NULL;Consumer;Lufkin;75901;Texas;Central
Paul Prost;NULL;Corporate;Sioux Falls;57103;South Dakota;Central
William Brown;NULL;Corporate;Macon;31204;Georgia;South
Liz Price;NULL;Corporate;Garden City;48135;Michigan;Central
Dionis Lloyd;NULL;Small Business;Coram;11727;New York;East
Tamara Chand;NULL;Consumer;Pflugerville;78660;Texas;Central
Troy Staebel;NULL;Small Business;Sandwich;2563;MA;East
Troy Staebel;NULL;Small Business;Natick;1760;MA;East
Michael Oakman;NULL;Small Business;Lehigh Acres;33971;Florida;South
Christopher Martinez;NULL;Small Business;Thornton;80229;Colorado;West
Justin Knight;NULL;Corporate;Cedar Rapids;52402;Iowa;Central
Dario Medina;NULL;Small Business;Scottsdale;85254;Arizona;West
Michael Grace;NULL;Corporate;Summerville;29483;South Carolina;South
Joe Kamberova;NULL;Small Business;Levittown;19057;Pennsylvania;East
Rick Huthwaite;NULL;Corporate;Dublin;94568;California;West
Muhammed Yedwab;NULL;Consumer;Portsmouth;23701;Virginia;South
Keith Dawkins;NULL;Home Office;North Little Rock;72113;Arkansas;South
Heather Jas;NULL;Corporate;Bay City;48708;Michigan;Central
Adam Shillingsburg;NULL;Corporate;Grants Pass;97526;Oregon;West
Jennifer Ferguson;NULL;Home Office;Glen Cove;11542;New York;East
Don Weiss;NULL;Corporate;Bethlehem;18018;Pennsylvania;East
Dave Kipp;NULL;Corporate;Redlands;92374;California;West
Tony Sayre;NULL;Home Office;Selma;36701;Alabama;South
Eileen Kiefer;NULL;Consumer;Weatherford;76086;Texas;Central
Jonathan Doherty;NULL;Corporate;Gastonia;28052;North Carolina;South
Nick Zandusky;NULL;Small Business;Tucker;30084;Georgia;South
Ryan Crowe;NULL;Small Business;North Miami Beach;33160;Florida;South
Philip Brown;NULL;Corporate;Rapid City;57701;South Dakota;Central
Nora Paige;NULL;Small Business;Apple Valley;92307;California;West
Edward Becker;NULL;Corporate;Farmers Branch;75234;Texas;Central
Grant Carroll;NULL;Small Business;Des Plaines;60016;Illinois;Central
Nora Paige;NULL;Small Business;Bangor;4401;Maine;East
Fred Harton;NULL;Home Office;Colorado Springs;80906;Colorado;West
Ashley Jarboe;NULL;Small Business;Forest Park;30297;Georgia;South
Tom Stivers;NULL;Small Business;Rotterdam;12306;New York;East
Fred Harton;NULL;Home Office;Commerce City;80022;Colorado;West
Tim Brockman;NULL;Consumer;Rexburg;83440;Idaho;West
Liz Pelletier;NULL;Home Office;Indian Trail;28079;North Carolina;South
Thea Hudgings;NULL;Consumer;Jupiter;33458;Florida;South
Dorothy Wardle;NULL;Corporate;Springfield;62701;Illinois;Central
Toby Swindell;NULL;Small Business;Gallatin;37066;Tennessee;South
Thomas Boland;NULL;Corporate;Sun Prairie;53590;Wisconsin;Central
Troy Staebel;NULL;Small Business;New London;6320;Connecticut;East
Karen Seio;NULL;Consumer;Enterprise;36330;Alabama;South
Anthony Garverick;NULL;Small Business;Mint Hill;28227;North Carolina;South
Philip Brown;NULL;Corporate;Lake Jackson;77566;Texas;Central
Scot Coram;NULL;Corporate;Milwaukee;53209;Wisconsin;Central
Philip Brown;NULL;Home Office;Lakewood;44107;Ohio;East
Nora Price;NULL;Small Business;Rye;10580;New York;East
Lena Cacioppo;NULL;Home Office;Council Bluffs;51503;Iowa;Central
Phillip Flathmann;NULL;Small Business;Plainview;11803;New York;East
Dave Brooks;NULL;Corporate;Wheeling;26003;West Virginia;East
Alex Russell;NULL;Home Office;Lake Oswego;97035;Oregon;West
Odella Nelson;NULL;Small Business;York;17403;Pennsylvania;East
Eudokia Martin;NULL;Home Office;Leander;78641;Texas;Central
Scot Wooten;NULL;Corporate;Van Buren;72956;Arkansas;South
Harold Dahlen;NULL;Consumer;Taylors;29687;South Carolina;South
Dave Poirier;NULL;Small Business;Orange;7050;New Jersey;East
Jenna Caffey;NULL;Consumer;Highland;46322;Indiana;Central
Dave Poirier;NULL;Small Business;Augusta;4330;Maine;East
Alex Grayson;NULL;Consumer;Dover;3820;New Hampshire;East
Corey Lock;NULL;Home Office;Mission Viejo;92691;California;West
Jenna Caffey;NULL;Consumer;Lancaster;17602;Pennsylvania;East
Dave Poirier;NULL;Small Business;Old Bridge;8857;New Jersey;East
Michelle Ellison;NULL;Consumer;Greenfield;53220;Wisconsin;Central
Tracy Blumstein;NULL;Home Office;Columbia;29203;South Carolina;South
Maurice Satty;NULL;Corporate;Lakeland;33801;Florida;South
Russell Applegate;NULL;Home Office;La Vista;68128;Nebraska;Central
Christine Kargatis;NULL;Small Business;Papillion;68046;Nebraska;Central
Nora Pelletier;NULL;Home Office;Winter Park;32789;Florida;South
Nora Pelletier;NULL;Home Office;Winter Springs;32708;Florida;South
Grant Thornton;NULL;Corporate;Moreno Valley;92553;California;West
Christopher Schild;NULL;Corporate;Crown Point;46307;Indiana;Central
Ashley Jarboe;NULL;Home Office;Flagstaff;86001;Arizona;West
Stuart Van;NULL;Consumer;Shirley;11967;New York;East
Parhena Norris;NULL;Home Office;Fridley;55432;Minnesota;Central
Aaron Smayling;NULL;Small Business;Smithtown;11787;New York;East
Kelly Lampkin;NULL;Corporate;Grand Prairie;75051;Texas;Central
Jay Fine;NULL;Consumer;Hopkinton;1748;MA;East
Marc Crier;NULL;Corporate;Springdale;72762;Arkansas;South
Roy Collins;NULL;Corporate;Collierville;38017;Tennessee;South
Michelle Ellison;NULL;Small Business;Greenfield;53220;Wisconsin;Central
Emily Ducich;NULL;Consumer;Altamonte Springs;32701;Florida;South
Alex Russell;NULL;Home Office;Mcminnville;97128;Oregon;West
Roy French;NULL;Consumer;Odessa;79762;Texas;Central
Alex Russell;NULL;Home Office;Medford;97504;Oregon;West
Ellis Ballard;NULL;Corporate;Elmwood Park;7407;New Jersey;East
Ellis Ballard;NULL;Corporate;Ocean City;8226;New Jersey;East
Duane Benoit;NULL;Home Office;Omaha;68046;Nebraska;Central
Shahid Shariari;NULL;Consumer;Oak Park;48237;Michigan;Central
Nat Carroll;NULL;Home Office;Killeen;76541;Texas;Central
David Kendrick;NULL;Home Office;Saratoga;95070;California;West
James Lanier;NULL;Corporate;Mesquite;75150;Texas;Central
James Lanier;NULL;Corporate;Mcallen;78501;Texas;Central
Emily Phan;NULL;Consumer;Madison;35756;Alabama;South
Emily Phan;NULL;Consumer;Huntington Beach;92646;California;West
Roy Skaria;NULL;Corporate;La Vista;68128;Nebraska;Central
Brad Eason;NULL;Small Business;Norfolk;68701;Nebraska;Central
Dave Kipp;NULL;Consumer;Redding;96003;California;West
Dave Kipp;NULL;Consumer;Rancho Cucamonga;91730;California;West
Dave Kipp;NULL;Consumer;Redlands;92374;California;West
Thais Sissman;NULL;Small Business;Port Orange;32127;Florida;South
